gnome-shell-extension-appindicator 34-1
gnome-shell-extension-arcmenu 3-2
gnome-shell-extension-dash-to-dock 68-1
gnome-shell-extension-dash-to-panel 39.r3.g23d22bd-1
gnome-shell-extension-desktop-icons-ng 0.13.0-1
gnome-shell-extension-gamemode 4.r5.g03d73fb-1
gnome-shell-extension-gsconnect 42-1
gnome-shell-extension-material-shell 6.4-1
gnome-shell-extension-nightshellswitcher 24.r0.geed5897-1
gnome-shell-extension-nightthemeswitcher 37.r0.g10c329c-1
gnome-shell-extension-pop-shell r540.9286532-1
gnome-shell-extension-unite 42.r1.gb72f464-1
gnome-shell-extensions 3.36.5-1
gnome-system-log 3.9.90+160+g4b07190-2
gnome-system-monitor 3.36.1-1
gnome-terminal 3.36.2-1
gnome-themes-extra 3.28-2
gnome-todo 3.28.1+22+gd56e14e-2
gnome-tweaks 3.34.0-2.1
gnome-user-docs 3.36.6-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-wallpapers 20201023-1
gnome-weather 3.36.1-1
gnupg 2.2.23-1
gnutls 3.6.15-1
gobject-introspection-runtime 1.66.0-1
gom 0.4-1
gparted 1.1.0-1
gpgme 1.14.0-1
gpm 1.20.7.r38.ge82d1a6-2
gptfdisk 1.0.5-1
graphene 1.10.2-1
graphite 1:1.3.14-1
grep 3.4-1
grilo 0.3.13-1
grilo-plugins 1:0.3.12-1
groff 1.22.4-3
grub 2.04-11.1
gsettings-desktop-schemas 3.38.0-1
gsfonts 20180524-3
gsm 1.0.19-1
gsound 1.0.2-5
gspell 1.8.3-1
gssdp 1.2.3-1
gssproxy 0.8.3-1
gst-libav 1.18.0-1
gst-plugin-gtk 1.18.0-1
gst-plugins-bad 1.18.0-2
gst-plugins-bad-libs 1.18.0-2
gst-plugins-base 1.18.0-1
gst-plugins-base-libs 1.18.0-1
gst-plugins-good 1.18.0-1
gst-plugins-ugly 1.18.0-1
gst-python 1.18.0-1
gstreamer 1.18.0-1
gthumb 3.10.0-2
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:3.24.23-1
gtk2 2.24.32-2
gtk3 1:3.24.23-1
gtkhash 1.4-4
gtkhash-nautilus 1.4-4
gtkmm3 3.24.2-2
gtksourceview-pkgbuild 4-2
gtksourceview4 4.6.1-1
gtkspell3 3.0.10-2
gufw 20.04.1-2
guile 2.2.6-2
gupnp 1.2.4-1
gupnp-av 0.12.11+3+g2123c81-1
gupnp-dlna 0.10.5+4+gc947eed-2
gupnp-igd 1.2.0-1
gutenprint 5.3.3-2
gvfs 1.44.1-4
gvfs-afc 1.44.1-4
gvfs-goa 1.44.1-4
gvfs-google 1.44.1-4
gvfs-mtp 1.44.1-4
gvfs-smb 1.44.1-4
gzip 1.10-3
hardcode-fixer 1:r543.0321910-1
harfbuzz 2.7.2-1
harfbuzz-icu 2.7.2-1
hdparm 9.58-3
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
highlight 3.58-1
hplip 1:3.20.6-3
htop 3.0.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-de 20161207-4
hunspell-en_GB 2019.10.06-1
hwids 20200813.1-1
hwinfo 21.70-2
hwloc 2.2.0-1
hyphen 2.8.8-3
